Tool	Rank	Precision	Sensitivity	
Kraken2	Genus	0.958781909	0.692531636	0.804192281977525
Kraken2	Species	0.494747455	0.349265545	0.409468194229089
KrakenUniq	Genus	0.951	0.681	0.793665441176471
KrakenUniq	Species	0.490	0.343	0.403529411764706
Centrifuge	Genus	0.901	0.696	0.785342517219787
Centrifuge	Species	0.472	0.340	0.395270935960591
Kaiju	Genus	0.941	0.678	0.7881383570105
Kaiju	Species	0.478	0.234	0.314191011235955
Kraken2X	Genus	0.928	0.642	0.758950318471338
Kraken2X	Species	0.449	0.204	0.280539050535988
MMseqs2	Genus	0.957	0.496	0.653368203716449
MMseqs2	Species	0.492	0.100	0.166216216216216
Hybrid	Genus	0.939	0.748	0.833
Hybrid	Species	0.469	0.354	0.403
Metabuli-P	Genus	0.966836182	0.727841545	0.830097909
Metabuli-P	Species	0.655972273	0.280645636	0.391120364
Metabuli	Genus	0.919891182	0.771799636	0.839253909
Metabuli	Species	0.466579909	0.356860727	0.404268727