Tool	Variant	Reads	Correct	Wrong	Precision	Recall	F1	F1 avg
Kraken2	Omicron	1440731	188709	7034	0.96406512621141	0.130981425401411	0.230628778703481	0.131239575517644
Kraken2	Omicron	866241	103097	5077	0.953066356055984	0.119016532350697	0.211607990435287	
Kraken2	Omicron	1169039	66278	4945	0.930570180980863	0.0566944302114814	0.106877417835909	
Kraken2	Beta	553478	20902	2269	0.902075870700445	0.0377648253408446	0.0724947064852275	
Kraken2	Beta	5012511	218993	21053	0.912295976604484	0.0436892806818778	0.0833852921538976	
Kraken2	Beta	2111057	91117	8243	0.917039049919485	0.0431617905153674	0.0824432674920614	
KrakenUniq	Omicron	1440731	191133	5924	0.969937632258687	0.132663904642851	0.233403834928574	0.133783171523408
KrakenUniq	Omicron	866241	106613	6358	0.943720069752414	0.123075448980134	0.217752641920238	
KrakenUniq	Omicron	1169039	67318	4677	0.935037155358011	0.0575840498050108	0.108486955232492	
KrakenUniq	Beta	553478	21514	1638	0.929250172771251	0.0388705603474754	0.0746197735116105	
KrakenUniq	Beta	5012511	219001	15808	0.932677197211351	0.0436908766883504	0.0834715626262549	
KrakenUniq	Beta	2111057	93935	6173	0.938336596475806	0.0444966668356184	0.0849642609212791	
Centrifuge	Omicron	1440731	163464	8594	0.950051726743307	0.113459070430219	0.20270971590208	0.106943137121089
Centrifuge	Omicron	866241	88615	7124	0.925589362746634	0.102298321136958	0.184234599471922	
Centrifuge	Omicron	1169039	58354	4626	0.926548110511273	0.0499162132315517	0.0947290585615968	
Centrifuge	Beta	553478	13736	1619	0.89456203191143	0.0248176079266023	0.0482953696427598	
Centrifuge	Beta	5012511	143672	20474	0.875269577083816	0.0286626802414997	0.0555076374579192	
Centrifuge	Beta	2111057	61199	6325	0.906329601326936	0.0289897430528877	0.0561824416902561	
Kaiju	Omicron	1440731	105976	6458	0.94256185851255	0.0735571039979011	0.136464573950611	0.0677274610166413
Kaiju	Omicron	866241	55782	6471	0.896053202255313	0.0643954742386934	0.120155865304461	
Kaiju	Omicron	1169039	42084	4700	0.89953830369357	0.0359987990135487	0.0692271819171046	
Kaiju	Beta	553478	6940	109	0.984536813732444	0.0125388904346695	0.0247624110881367	
Kaiju	Beta	5012511	69355	1244	0.98237935381521	0.0138363786134335	0.0272884120154788	
Kaiju	Beta	2111057	30488	495	0.984023496756286	0.0144420543831834	0.0284663218240556	
Kraken2X	Omicron	1440731	137372	7685	0.94702082629587	0.095348819453458	0.173253928015599	0.0911227808959641
Kraken2X	Omicron	866241	75663	10559	0.877537055507875	0.0873463620401251	0.158878612607524	
Kraken2X	Omicron	1169039	51708	4466	0.920497027094385	0.0442312018675168	0.0844065480859246	
Kraken2X	Beta	553478	11907	2246	0.841305730233873	0.0215130502025374	0.0419533112180272	
Kraken2X	Beta	5012511	111766	22248	0.833987493843927	0.0222974074271358	0.043433578968333	
Kraken2X	Beta	2111057	48604	9642	0.83446073550115	0.0230235374980401	0.0448107064803765	
MMseqs2	Omicron	1440731	54581	2576	0.954931154539252	0.0378842407083626	0.0728772778739131	0.0342175287436824
MMseqs2	Omicron	866241	27998	1834	0.938522392062215	0.0323212593262152	0.0624904444169169	
MMseqs2	Omicron	1169039	16201	1448	0.917955691540597	0.0138583913795861	0.0273045653111853	
MMseqs2	Beta	553478	3642	232	0.94011357769747	0.00658020734338131	0.0130689402747276	
MMseqs2	Beta	5012511	36700	2663	0.932347636104972	0.007321679693072	0.0145292618145267	
MMseqs2	Beta	2111057	15998	1091	0.936157762303236	0.00757819424108397	0.0150346827708249	
Metabuli	Omicron	1440731	180290	342	0.998106647770052	0.125137864042628	0.222393134665093	0.12462889926952
Metabuli	Omicron	866241	100565	3998	0.961764677754081	0.116093558259191	0.20717879201157	
Metabuli	Omicron	1169039	63949	909	0.985984766721145	0.0547021955640488	0.103653708534829	
Metabuli	Beta	553478	18965	1811	0.912832113977667	0.0342651379097272	0.0660509112692293	
Metabuli	Beta	5012511	192345	17470	0.916736172342302	0.038372983121633	0.0736625787053507	
Metabuli	Beta	2111057	82373	8048	0.910994127470389	0.0390197896125022	0.0748342704310468	
Metabuli-P	Omicron	1440731	176933	316	0.998217197276148	0.122807796875336	0.218708513084216	
Metabuli-P	Omicron	866241	98706	3963	0.961400227916898	0.113947504216494	0.203746478001053	
Metabuli-P	Omicron	1169039	62404	833	0.986827332099878	0.0533805972255844	0.101282504893384	
Metabuli-P	Beta	553478	18829	1769	0.914117875521895	0.0340194190193648	0.0655975863822908	
Metabuli-P	Beta	5012511	190733	16884	0.918677179614386	0.0380513878174033	0.0730759858762084	
Metabuli-P	Beta	2111057	81674	7816	0.912660632472902	0.0386886758623761	0.0742306344740649	
Hybrid	Omicron	1440731	191133	5924	0.969937632258687	0.132663904642851	0.233403834928574	0.133785684600407
Hybrid	Omicron	866241	106613	6358	0.943720069752414	0.123075448980134	0.217752641920238	
Hybrid	Omicron	1169039	67318	4677	0.935037155358011	0.0575840498050108	0.108486955232492	
Hybrid	Beta	553478	21516	1638	0.929256284011402	0.038874173860569	0.0746264515323465	
Hybrid	Beta	5012511	219013	15818	0.932640920491758	0.0436932706980593	0.0834757864076708	
Hybrid	Beta	2111057	93940	6177	0.938302186441863	0.0444990353173789	0.084968437581122	