Tools	Group	F1
Kraken2	1	0.670674
Kraken2	2	0.575462
Kraken2	3	0.457896
Kraken2	4	0.333224
Kraken2	5	0.219506
KrakenUniq	1	0.682725
KrakenUniq	2	0.593712
KrakenUniq	3	0.480153
KrakenUniq	4	0.353332
KrakenUniq	5	0.237215
Centrifuge	1	0.593005
Centrifuge	2	0.53331
Centrifuge	3	0.451007
Centrifuge	4	0.34832
Centrifuge	5	0.248176
Kaiju	1	0.322032
Kaiju	2	0.243982
Kaiju	3	0.172465
Kaiju	4	0.11024
Kaiju	5	0.0696772
Kraken2X	1	0.372519
Kraken2X	2	0.281819
Kraken2X	3	0.200119
Kraken2X	4	0.129837
Kraken2X	5	0.0782394
MMseqs2	1	0.19955213
MMseqs2	2	0.14615271
MMseqs2	3	0.09997274
MMseqs2	4	0.06219918
MMseqs2	5	0.03794568
Metabuli	1	0.67196
Metabuli	2	0.569793
Metabuli	3	0.449281
Metabuli	4	0.319922
Metabuli	5	0.203742