Tool	Rank	Precision	Sensitivity
Kraken2	Family	0.795466	0.33747
Kraken2	Genus	0.618259	0.251716
KrakenUniq	Family	0.820117	0.301344
KrakenUniq	Genus	0.63791	0.22809
Centrifuge	Family	0.641146	0.326264
Centrifuge	Genus	0.473665	0.233531
Kaiju	Family	0.863089	0.58163
Kaiju	Genus	0.684188	0.4449
Kraken2X	Family	0.824825	0.576872
Kraken2X	Genus	0.66153	0.427709
MMseqs2	Family	0.923676	0.62228831
MMseqs2	Genus	0.815314	0.44378859
Metabuli	Family	0.826849	0.620629
Metabuli	Genus	0.651585	0.477305